target,return,volatility,sharpe,w_VTI,w_VEA,w_VWO,w_AGG,w_TLT,w_TIP,w_VNQ,w_DBC,w_BTC-USD,w_BIL,w_LQD,w_HYG,w_GLD
-0.012097729481110105,-0.012097729397866538,0.15036462452751442,-0.3797284738832871,3.469446951953614e-16,0.0,0.0,3.4009856736405553e-09,0.9999999965990145,0.0,7.91033905045424e-16,1.3877787807814457e-17,0.0,0.0,0.0,1.6653345369377348e-16,5.689893001203927e-16
-0.002566210909458704,-0.002566210905384901,0.09837666189789573,-0.48351112944606156,4.869617736324806e-18,0.0,0.0,0.0,0.6541770662365781,0.0,0.0,0.0,1.4647598569416756e-17,0.3458229337634223,0.0,0.0,0.0
0.006965307662192697,0.006965307650908564,0.04641564321070171,-0.8194369337172528,0.0,0.0,0.0,0.0,0.30835413317817867,0.0,0.0,0.0,6.51754331213448e-18,0.6916458668218218,0.0,0.0,0.0
0.016496826233844096,0.016496826235852306,0.0059033438348659,-4.828309947966154,0.0007632513543278426,3.408728418018629e-19,1.6263032587282567e-18,0.09482830279775599,5.57050000122769e-18,0.0,1.386745116715235e-18,0.0,0.0023376745371434726,0.9020707713107728,3.475139319019377e-18,0.0,1.9244588561617704e-18
0.0260283448054955,0.026028344805751405,0.01183350420063416,-1.6032153175077166,0.030509098777665195,0.0,0.0,0.0,8.782037597132586e-18,0.0137471553313963,0.0,0.0,0.01214748401047961,0.9258628253747125,0.0,0.0,0.01773343650574637
0.0355598633771469,0.035559863378266186,0.02172949721019825,-0.43443879673862384,0.05093633649784383,3.7947076036992655e-19,0.0,0.0,6.396792817664476e-18,0.0,5.421010862427522e-20,7.697835424647081e-18,0.02212091137599346,0.8701448009609382,3.5778671692021646e-17,0.0,0.0567979511652246
0.0450913819487983,0.04509138194610673,0.03191282481327878,0.002863486596420182,0.07780265554824264,6.071532165918825e-18,5.2583805365546965e-18,0.0,0.0,0.0,6.884683795282953e-18,0.0,0.03244507792346416,0.8091001357850418,1.599198204416119e-17,0.0,0.0806521307432513
0.054622900520449706,0.05462290051786807,0.04212298457240608,0.22844773739446372,0.09188262585462718,1.3118846287074604e-17,0.0,1.4224732503009818e-16,0.0,8.09356921760429e-17,0.0,0.0,0.04455558969355053,0.7537594832308704,0.0,1.441988889405721e-17,0.10980230122095162
0.0641544190921011,0.06415441908034933,0.05232213463988878,0.3660863459065868,0.12326903288850029,0.0,8.023096076392733e-18,0.0,1.4094628242311558e-18,0.0,0.0,1.3660947373317356e-17,0.054122659182125415,0.6896507275373894,1.2034644114589099e-17,2.950385161876179e-17,0.13295758039198485
0.0736859376637525,0.07368593767289729,0.06256466940090062,0.45850058743352606,0.15239893390573905,9.324138683375338e-18,0.0,0.0,3.924811864397526e-17,0.0,8.673617379884035e-19,2.45029690981724e-17,0.06486519463859823,0.6337234839496002,0.0,0.0,0.14901238750606258
0.08321745623540391,0.08321745623483542,0.07280935766175162,0.5248975881971268,0.17663604118001303,0.0,0.0,0.0,0.0,9.71445146547012e-17,4.9873299934333204e-18,0.0,0.07621701249946408,0.5793594024185127,2.043721095135176e-17,0.0,0.16778754390201037
0.0927489748070553,0.09274897482207928,0.0830262867966776,0.5751067121550474,0.20074962672232646,0.0,2.4936649967166602e-17,0.0,0.0,0.0,0.0,7.806255641895632e-18,0.08677780573560354,0.518308715479608,2.5587171270657905e-17,1.214306433183765e-17,0.194163852062462
0.1022804933787067,0.10228049337881726,0.09323724141236754,0.6143520819698901,0.22322527432285072,4.7704895589362195e-18,3.0357660829594124e-18,0.0,3.0357660829594124e-17,8.630249292984615e-17,3.122502256758253e-17,1.431146867680866e-17,0.09746166722856023,0.4571065646935089,1.6479873021779667e-17,0.0,0.22220649375508023
0.11181201195035811,0.11181201195249178,0.10343591223642515,0.6459266468282165,0.23999782277477172,3.369158250998705e-17,3.0926866970149014e-17,0.0,0.0,1.2533377113932431e-16,4.96564594998361e-17,0.0,0.10823738299528406,0.3925690694737448,1.8214596497756474e-17,0.0,0.2591957247561993
0.12134353052200952,0.12134353051203801,0.11366686014203324,0.6716428202260748,0.26171177229133985,0.0,0.0,3.3393426912553537e-17,0.0,5.594483210025203e-17,0.0,0.0,0.11806770637032467,0.3236999461335604,1.5178830414797062e-18,7.621941272573096e-17,0.2965205752047749
0.1308750490936609,0.13087504911011047,0.1238880145429992,0.6931667234065233,0.2892760531952247,0.0,0.0,5.963111948670274e-17,0.0,1.0625181290357943e-16,0.0,0.0,0.12878898543024475,0.2664694647011255,0.0,5.594483210025203e-17,0.3154654966734051
0.14040656766531232,0.14040656766351658,0.13413168763835012,0.7112902949581507,0.3058274767308775,0.0,0.0,6.071532165918825e-17,0.0,1.444157293750692e-16,0.0,0.0,0.1393829286252362,0.20025681677084053,3.122502256758253e-17,0.0,0.3545327778730456
0.14993808623696372,0.1499380862328645,0.14434672109392643,0.7269862830107604,0.3343610463019544,3.3393426912553537e-17,6.5052130349130266e-18,0.0,0.0,4.7704895589362195e-18,2.927345865710862e-17,0.0,0.1498010556337162,0.14119488807699315,2.3852447794681098e-18,6.938893903907228e-17,0.37464300998733624
0.1594696048086151,0.159469604811533,0.15457136077622066,0.740561538933822,0.3569188777291358,0.0,0.0,0.0,6.071532165918825e-18,4.206704429243757e-17,5.5077470362263625e-17,2.656295322589486e-18,0.1619287926813856,0.09209490709812126,0.0,1.3335686721571705e-17,0.38905742249135744
