Asset,MinVariance_Weight,MaxSharpe_Weight
VTI,0.0,0.40318565934242273
VEA,0.0,0.0
VWO,0.0,0.0
AGG,0.04281720512936647,0.0
TLT,0.0,0.0
TIP,6.938893903907228e-18,0.0
VNQ,0.0,0.0
DBC,0.0011058425660194532,2.4096393283490336e-17
BTC-USD,0.0,0.3166357210968921
BIL,0.9560769523046141,4.26633554873046e-17
LQD,0.0,8.55435514091063e-17
HYG,0.0,2.4936649967166602e-17
GLD,1.050579712984421e-18,0.28017861956068557
