Asset,RiskParity_Weight
VTI,0.051400072824828724
VEA,0.05037561034261686
VWO,0.04781782973666484
AGG,0.16669615981589334
TLT,0.09282532457808244
TIP,0.16467426729387732
VNQ,0.04346936807870229
DBC,0.07359960184627537
BTC-USD,0.021944556056286167
BIL,0.012636857574425066
LQD,0.09463758039683268
HYG,0.09626001344159618
GLD,0.08366275801391874
